date,time,longitude,latitude,attack_type,nearest_country,shore_distance,attack_description,vessel_name,vessel_type
1994-01-16,,123.9,28.5666667,Boarded,CHN,198.5581073,,Lucie Schulte,
1994-01-16,,107.0833,10.3,Boarded,VNM,2.599546049,,Diyyinah,
1994-01-22,,32.55,29.8166667,Boarded,EGY,5.333366015,,Landka Asitha,
1994-01-25,,103.3167,1.25,Boarded,IDN,14.25915349,,Aries Has,
1994-01-25,,119.9667,17.6833333,Boarded,PHL,41.00942032,,Hans Oldendorff,
1994-01-26,,-76.7533,17.7366667,,JAM,21.2955163,,Victoria Faith,
1994-01-27,,122.9286,29.0791,,CHN,93.28014704,,Nanshin Maru,
1994-01-27,,121.4,20,Hijacked,PHL,56.02019796,,Alicia Star,
1994-01-30,,110.7667,14.9,Boarded,VNM,107.257783,,Kota Mulia,
1994-02-10,,43.1667,11.6666667,Hijacked,DJI,6.285266935,,MV Castor,
1994-02-16,,112.0333,13.6333333,,VNM,253.5601658,,Vlaherna,
1994-02-16,,121.5933,15.0133333,Boarded,PHL,4.431694785,,Nord Light,
1994-02-21,,112.9,12.2833333,Attempted,CHN,202.7920642,,Rita Del Mar,
1994-02-27,,121.6433,22.9833333,Boarded,TWN,30.3015704,,Keumgang Glory,
1994-03-08,,116.95,-1.3666667,Boarded,IDN,14.04081611,,Timur Endurance,
1994-03-12,,106.3333,8.4666667,Attempted,VNM,34.1164283,,Santa Esmeralda,
1994-03-14,,-17.4247,14.676,Boarded,SEN,0.2610339344,,Peder Most,
1994-03-15,,79.7583,6.945,Boarded,LKA,10.10893705,,California Zeus,
1994-03-20,,114.1945,22.555,Hijacked,CHN,2.7731864,,Tequila,
1994-03-25,,116.1167,22.6166667,Attempted,CHN,23.2708876,,Khudozhnik N. Rer,
1994-03-26,,121.6433,25.9833333,Attempted,TWN,77.79337613,,Nordsung,
1994-03-26,,114.2667,22.1166667,Boarded,CHN,6.397482952,,Shun Ping,
1994-04-19,,110.4717,13.3883333,Boarded,VNM,121.1358888,,Kota Indah,
1994-04-23,,121.22,19.6041667,Attempted,PHL,28.75848418,,Forum Wind,
1994-04-25,,106.9025,-6.0976667,Boarded,IDN,7.190381219,,Ikan Beliak,
1994-05-03,,107.3,18.75,Hijacked,VNM,114.7249447,,M63807A,
1994-05-08,,98.7007,3.7836667,Boarded,IDN,2.482068608,,Bangkok Navee,
1994-05-16,,-48.4877,-24.637,Boarded,BRA,62.48681319,,Alaska,
1994-05-17,,98.7007,3.7836667,Boarded,IDN,2.482068608,,Finnwood,
1994-05-22,,119.95,17.6,Attempted,PHL,41.03025732,,Timber Trader XII,
1994-05-24,,98.7007,3.7836667,Boarded,IDN,2.482068608,,Nordstar,
1994-05-30,,-46.305,-24.637,Boarded,BRA,67.33122822,,Cap Polonio,
1994-05-30,,98.7007,3.7836667,Boarded,IDN,2.482068608,,Ocean GR,
1994-05-30,,117.5667,0.0833333,Boarded,IDN,8.356471608,,Pacific Gas,
1994-06-04,,122.1667,6.1333333,Attempted,PHL,26.84000267,,Wold Quince,
1994-06-07,,104.6,1.6666667,,MYS,38.49789725,,vviva,
1994-06-09,,-48.4877,-24.637,Boarded,BRA,62.48681319,,San Giovanni,
1994-06-13,,118.0555,5.815,Boarded,MYS,0.7614011037,,Asian Venture,
1994-06-15,,117.1383,-0.5401667,Boarded,IDN,33.74762115,,Toyo,
1994-06-19,,112.7235,-7.2038333,Boarded,IDN,1.955988514,,Bass Reefer,
1994-07-01,,117.6167,0.0333333,Boarded,IDN,10.9064988,,Bonny,
1994-07-16,,114.1945,22.555,Attempted,CHN,2.7731864,,Ervilia,
1994-07-17,,119.05,21.25,Attempted,TWN,187.576441,,Rheingas,
1994-07-18,,-43.1913,-22.8765,Boarded,BRA,2.178646678,,Mister Michael,
1994-07-19,,115.8667,20.1333333,Attempted,CHN,266.8439144,,New Hailee,
1994-07-26,,123.1867,29.63,Attempted,CHN,79.82176086,,Kropotkin,
1994-07-26,,118.0833,5.8,Boarded,MYS,1.718180666,,Gloria Ace,
1994-08-02,,121.5933,15.0133333,Boarded,PHL,4.431694785,,Gorno Altaysk,
1994-08-14,,-40.335,-20.3206667,Boarded,BRA,1.243161264,,Alexandergracht,
1994-08-16,,-46.3093,-24.0703333,Boarded,BRA,5.872718951,,Maersk La Plata,
1994-08-19,,120.9428,14.5211667,Boarded,PHL,3.658996985,,Fukumaru,
1994-08-21,,91.806,22.223,Boarded,BGD,1.163908905,,MV Young II,
1994-08-24,,105.9333,-6.0166667,Boarded,IDN,3.294167977,,Caroline Oldendorff,
1994-08-26,,105.9535,-6.0081667,Boarded,IDN,1.1166917,,Torben Spirit,
1994-08-31,,104.679,1.5505,Boarded,IDN,37.74056299,,Essberger Pioneer,
